city,tract,county,Total,White,Black,Native,Asian,Pacific Islander,Other,Two or More
 New York,78, Bronx County,7025,1555,1925,0,638,0,2759,148
 New York,85, Bronx County,5972,523,1854,49,8,0,3378,160
 New York,131, Bronx County,5076,734,2214,13,8,0,2001,106
 New York,164, Bronx County,993,829,38,0,0,0,112,14
 New York,184, Bronx County,4018,2734,97,0,52,19,1015,101
 New York,193, Bronx County,5942,640,2740,26,86,0,2367,83
 New York,213.02, Bronx County,6040,460,3185,0,41,44,2198,112
 New York,216.02, Bronx County,5635,1221,2071,56,1096,0,786,405
 New York,219, Bronx County,1045,105,121,6,10,0,779,24
 New York,372, Bronx County,2279,312,1254,0,50,0,508,155
 New York,399.02, Bronx County,5346,624,970,71,79,31,3138,433
 New York,426, Bronx County,6477,482,5288,0,570,0,137,0
 New York,458, Bronx County,5605,1272,2557,0,62,15,1460,239
 New York,460, Bronx County,3190,251,2397,18,28,0,414,82
 New York,239, Bronx County,7684,672,2264,0,77,0,4321,350
 New York,241, Bronx County,6635,676,2262,16,28,0,3608,45
 New York,266.01, Bronx County,3352,1822,212,0,220,0,951,147
 New York,284, Bronx County,598,245,179,0,0,0,149,25
 New York,287, Bronx County,3000,1162,421,40,229,0,1044,104
 New York,288, Bronx County,3288,2233,256,0,387,0,211,201
 New York,351, Bronx County,3766,2783,303,19,263,0,280,118
 New York,367, Bronx County,2440,352,715,3,79,0,1222,69
 New York,399.01, Bronx County,5615,579,1117,0,267,0,3534,118
 New York,381, Bronx County,6909,959,2732,0,0,0,2882,336
 New York,388, Bronx County,2780,217,1997,0,46,0,467,53
 New York,397, Bronx County,3881,2585,330,0,240,0,597,129
 New York,409, Bronx County,3164,634,2102,0,71,0,310,47
 New York,420, Bronx County,3799,501,2304,71,149,27,598,149
 New York,424, Bronx County,2562,274,1919,7,72,0,282,8
 New York,435, Bronx County,361,32,181,101,0,0,42,5
 New York,428, Bronx County,2114,218,1751,0,24,0,63,58
 New York,411, Bronx County,3766,728,804,16,184,0,2001,33
 New York,413, Bronx County,8261,1305,1225,27,384,0,5057,263
 New York,419, Bronx County,6822,2418,1315,0,378,0,2550,161
 New York,233.01, Bronx County,3804,348,1258,36,60,0,2029,73
 New York,235.02, Bronx County,4180,967,1136,9,64,0,1935,69
 New York,335, Bronx County,2011,1577,143,0,113,0,80,98
 New York,337, Bronx County,2381,1620,212,6,201,0,211,131
 New York,348, Bronx County,6318,1209,3035,0,157,0,1437,480
 New York,360, Bronx County,3149,588,1520,0,405,0,587,49
 New York,375.04, Bronx County,3409,708,1320,12,0,34,1301,34
 New York,383.01, Bronx County,4882,405,1407,8,8,0,2928,126
 New York,383.02, Bronx County,6127,529,2636,8,0,0,2583,371
 New York,395, Bronx County,4228,584,2072,52,31,0,1455,34
 New York,403.03, Bronx County,5102,636,909,218,150,0,2973,216
 New York,403.04, Bronx County,3903,349,361,12,210,0,2894,77
 New York,405.01, Bronx County,4435,379,659,0,204,0,3089,104
 New York,456, Bronx County,3344,982,2030,0,168,0,133,31
 New York,405.02, Bronx County,7260,973,2543,12,515,0,3126,91
 New York,434, Bronx County,3884,593,2243,0,238,0,751,59
 New York,444, Bronx County,4177,335,3343,78,159,0,207,55
 New York,301, Bronx County,1392,869,112,0,56,0,267,88
 New York,276, Bronx County,4,4,0,0,0,0,0,0
 New York,302, Bronx County,9213,1058,6159,0,135,0,1659,202
 New York,342, Bronx County,1982,398,920,56,105,0,475,28
 New York,370, Bronx County,2528,258,1814,0,37,0,379,40
 New York,27.02, Bronx County,4702,480,2069,82,0,0,1878,193
 New York,33, Bronx County,3534,457,1215,92,0,0,1655,115
 New York,19, Bronx County,2765,585,1041,0,93,0,876,170
 New York,42, Bronx County,7207,2296,3615,0,88,0,1005,203
 New York,50.01, Bronx County,4979,518,1278,66,49,0,2901,167
 New York,50.02, Bronx County,5519,681,1212,40,74,0,3319,193
 New York,51, Bronx County,5588,547,1896,0,30,0,2913,202
 New York,53, Bronx County,4483,414,2636,72,7,0,1206,148
 New York,63, Bronx County,4497,991,1328,23,63,0,1879,213
 New York,76, Bronx County,5458,1118,1318,13,335,0,2601,73
 New York,90, Bronx County,3620,1524,1107,27,54,0,844,64
 New York,93, Bronx County,6104,626,2275,12,1,0,3093,97
 New York,96, Bronx County,2683,595,673,18,530,0,787,80
 New York,117, Bronx County,1586,164,608,24,0,0,718,72
 New York,147.01, Bronx County,7120,775,3349,0,3,0,2505,488
 New York,147.02, Bronx County,5348,493,2238,48,0,0,2510,59
 New York,152, Bronx County,2586,1217,191,0,121,0,1003,54
 New York,159, Bronx County,1971,354,179,31,19,0,1351,37
 New York,179.02, Bronx County,3701,485,1174,41,21,0,1916,64
 New York,177.01, Bronx County,4812,599,2054,0,0,0,2128,31
 New York,177.02, Bronx County,5786,664,2114,0,128,0,2574,306
 New York,179.01, Bronx County,5006,618,1505,297,76,0,2404,106
 New York,181.01, Bronx County,3107,157,1479,85,0,0,1351,35
 New York,181.02, Bronx County,5791,836,2459,0,206,0,2236,54
 New York,183.01, Bronx County,4022,394,1482,9,90,0,1890,157
 New York,183.02, Bronx County,3814,402,1276,0,22,0,1971,143
 New York,185, Bronx County,8625,756,4420,160,0,0,2928,361
 New York,200, Bronx County,4548,555,511,52,1147,17,1906,360
 New York,205.01, Bronx County,7041,480,2074,39,23,0,4093,332
 New York,251, Bronx County,6636,593,1292,0,632,0,3952,167
 New York,255, Bronx County,6905,1041,986,134,0,0,4435,309
 New York,264, Bronx County,5398,2501,437,0,472,0,1731,257
 New York,336, Bronx County,6697,1604,2970,24,157,0,1852,90
 New York,343, Bronx County,1680,837,352,0,3,0,421,67
 New York,20, Bronx County,9409,3185,4487,182,29,0,1217,309
 New York,37, Bronx County,269,92,75,0,0,0,102,0
 New York,69, Bronx County,8090,1075,3320,38,37,0,3338,282
 New York,160, Bronx County,3870,2451,87,0,130,0,1156,46
 New York,215.01, Bronx County,4716,428,1438,5,0,0,2710,135
 New York,162, Bronx County,1966,1176,81,43,10,0,583,73
 New York,165, Bronx County,965,176,459,0,6,0,269,55
 New York,175, Bronx County,7223,669,2951,446,18,0,2985,154
 New York,215.02, Bronx County,6349,332,1754,13,0,0,4173,77
 New York,230, Bronx County,2832,734,358,127,191,0,1331,91
 New York,253, Bronx County,6314,631,1171,95,206,8,3965,238
 New York,261, Bronx County,1950,245,1089,3,53,0,434,126
 New York,279, Bronx County,7035,2348,944,8,386,23,2998,328
 New York,300, Bronx County,6003,2684,603,17,354,0,2223,122
 New York,319, Bronx County,636,400,111,0,42,0,46,37
 New York,340, Bronx County,5464,1000,2331,116,125,43,1434,415
 New York,344, Bronx County,2127,280,756,29,313,0,655,94
 New York,350, Bronx County,2078,166,1366,0,78,0,402,66
 New York,361, Bronx County,5547,869,1981,0,2,0,2566,129
 New York,365.01, Bronx County,3705,605,1824,13,0,0,1077,186
 New York,23, Bronx County,4600,479,2122,68,0,0,1845,86
 New York,39, Bronx County,6742,966,1384,46,0,0,4346,0
 New York,54, Bronx County,6003,778,1610,419,81,0,2989,126
 New York,62, Bronx County,7184,883,2750,65,192,0,3164,130
 New York,68, Bronx County,3294,262,925,43,349,0,1564,151
 New York,71, Bronx County,2722,340,1071,10,65,0,1132,104
 New York,86, Bronx County,3982,1614,1556,0,19,0,643,150
 New York,87, Bronx County,6150,649,1872,69,26,0,3426,108
 New York,110, Bronx County,0,0,0,0,0,0,0,0
 New York,129.01, Bronx County,4147,526,1589,0,39,30,1875,88
 New York,130, Bronx County,1498,997,152,0,0,0,272,77
 New York,369.01, Bronx County,2289,285,864,6,0,0,1118,16
 New York,56, Bronx County,2384,289,714,32,12,0,1299,38
 New York,205.02, Bronx County,2163,121,780,0,6,0,1181,75
 New York,209, Bronx County,4499,482,1879,0,0,0,2018,120
 New York,210.01, Bronx County,8825,1015,4707,87,679,19,1812,506
 New York,210.02, Bronx County,7710,956,4123,0,1292,0,951,388
 New York,217, Bronx County,5147,394,2698,32,43,0,1769,211
 New York,221.01, Bronx County,3896,285,635,0,240,0,2485,251
 New York,221.02, Bronx County,5528,703,1011,55,48,114,3291,306
 New York,222, Bronx County,3242,623,412,110,882,0,1068,147
 New York,224.03, Bronx County,3374,858,769,31,27,0,1487,202
 New York,224.04, Bronx County,4209,1285,1065,79,204,0,1422,154
 New York,237.03, Bronx County,5527,556,1482,23,19,0,3323,124
 New York,237.04, Bronx County,3944,77,950,0,8,0,2865,44
 New York,238, Bronx County,2288,527,501,13,221,0,873,153
 New York,245.01, Bronx County,5009,288,1164,0,54,0,3410,93
 New York,245.02, Bronx County,3752,488,1191,89,0,0,1982,2
 New York,267.01, Bronx County,4237,285,801,87,609,0,2171,284
 New York,267.02, Bronx County,7221,1105,1417,12,24,0,4472,191
 New York,274.01, Bronx County,4829,4040,82,0,52,0,473,182
 New York,274.02, Bronx County,3450,2805,44,0,54,0,485,62
 New York,293.01, Bronx County,1842,1437,115,0,28,0,138,124
 New York,293.02, Bronx County,5767,3802,448,0,100,0,686,731
 New York,332.01, Bronx County,5305,2214,785,0,102,0,2016,188
 New York,307.01, Bronx County,5617,4394,601,0,138,0,366,118
 New York,309, Bronx County,3703,3077,304,11,145,0,102,64
 New York,326, Bronx County,3859,1716,478,5,765,0,726,169
 New York,332.02, Bronx County,4218,1443,1294,33,36,0,1104,308
 New York,295, Kings County,4266,767,2921,0,158,0,135,285
 New York,307, Kings County,5544,409,4418,0,31,0,597,89
 New York,309, Kings County,2126,106,1721,0,140,0,40,119
 New York,317.02, Kings County,3589,1178,1827,0,149,0,141,294
 New York,327, Kings County,2465,629,1618,0,15,0,153,50
 New York,336, Kings County,4479,3855,158,0,296,0,39,131
 New York,340, Kings County,2210,1018,860,0,177,0,122,33
 New York,343, Kings County,5235,495,3868,0,87,0,658,127
 New York,388, Kings County,4040,2983,334,0,589,0,99,35
 New York,395, Kings County,4076,1396,1365,0,404,0,753,158
 New York,399, Kings County,3822,848,1782,13,24,13,1047,95
 New York,402, Kings County,2857,1190,19,7,1250,0,269,122
 New York,409, Kings County,3534,1209,900,20,15,0,1347,43
